Index,Year,Name,RuTerm,RuTerm_filtered,YAKE
137,2017,Sedova,"биграмм, корпус текстов, слово, существительное, корпус, выделение, биграммы, рамки, тематическая модель, язык","биграмм, корпус текстов, слово, существительное, корпус, выделение, биграммы, рамки, тематическая модель, язык","текстов, слов, корпуса текстов, биграмм, модели, корпуса, алгоритма, модель, тематической модели, слова"
138,2017,Smirnova,"лексическая база данных, существительное, тибетский язык, русский язык, база данных, отношение, выражение, p, человек, концепты","лексическая база данных, существительное, тибетский язык, русский язык, база данных, отношение, выражение, человек, концепты, компоненты","базе данных, лексической базе, данных, тибетском языке, лексической, базе, Например, языке, композитов, тибетском"
139,2017,Sokolova,"словосочетание, словосочетания, ключевые слова, русский язык, ключевые слово, материал, работа, kea, обучающая выборка, русскоязычные тексты","словосочетание, словосочетания, ключевые слова, русский язык, ключевые слово, материал, работа, обучающая выборка, русскоязычные тексты, кандидаты","ключевых слов, слов, KEA, слова, Ключевые слова, словосочетания, ключевых, работы, алгоритма KEA, работы KEA"
140,2017,Temirova,"корпус, язык, развитие, половецко-кыпчакский, акаев, кавказская языковая семья, такой образ, тексты, работа, представители","корпус, язык, развитие, половецко-кыпчакский, акаев, кавказская языковая семья, такой образ, тексты, работа, представители","МГУ имени, АБУСУПЬЯНА АКАЕВА, языковая семья, КОРПУС, ИМЕНИ АБУСУПЬЯНА, КОРПУС ИМЕНИ, ПОЛИЛИНГВАЛЬНЫЙ КОРПУС, НАЦИОНАЛЬНЫЙ ПОЛИЛИНГВАЛЬНЫЙ, Москва Несмотря, корпуса"
141,2017,Zaides,"пересказ, юр, экстры, студы, описание, рассказ, метакоммуникативная вставка, своб, м, смех","пересказ, экстры, студы, описание, рассказ, метакоммуникативная вставка, своб, смех, монолог, метакоммуникативные вставки","низкий УРК, УРК, высокий УРК, средний УРК, низкий, пересказ несюж., Метакоммуникативная вставка, пересказ сюж., экстр., пересказ"
142,2017,Zakharov,"хозяева, предлог, предлоги, русский язык, слуги, синтаксический словарь, семантические теги, золотова, семантическая разметка, первообразные предлоги","хозяева, предлог, предлоги, русский язык, слуги, синтаксический словарь, семантические теги, золотова, семантическая разметка, первообразные предлоги","предлогов, русского языка, значения, значения предлогов, первообразных предлогов, текста, языка, семантики предлогов, значения предлога, семантических"
143,2018,Azarova,"предлоги, предлог, предложные конструкции, первообразные предлоги, посредство, помощь, дорога, семантическая рубрика, русский язык, производные предлогов","предлоги, предлог, предложные конструкции, первообразные предлоги, посредство, помощь, дорога, семантическая рубрика, русский язык, производные предлогов","предложных конструкций, предлогов, сквозь, ipm, конструкций, предложных, Предлог, производных предлогов, Производный предлог, предлога"
144,2018,Belov,"корпус, русский язык, тексты, частность, др, платные услуги, документы, договоры, локальные документы, текст","корпус, русский язык, тексты, частность, платные услуги, документы, договоры, локальные документы, текст, состав","текстов, русского языка, документов, Корпус, документы, правила, локальных документов, языка, правила поведения, например"
145,2018,Boikov,"рифмы, стиховой текст, г, рифмующиеся слова, ы, созвучие, ã□d□d, ã□d■d, ã■d□d, ã■d■d","рифмы, стиховой текст, рифмующиеся слова, созвучие, сверка строк, заударная часть, точность, рифма, поэтология, поиск","стихового текста, рифмующихся слов, согласных, рифмы, рифма, слов, текста, кортежей согласных, гласных, стихового"
146,2018,Chekmeneva,"слово, цвет, сочетание, цветообозначение, синестетические метафоры, поэтический подкорпус, наше исследование, цветы, прилагательные, корпус","слово, цвет, сочетание, цветообозначение, синестетические метафоры, поэтический подкорпус, наше исследование, цветы, прилагательные, корпус","цвет, сочетания, цвета, красный, метафоры, частотными оказались, белый, синий, фиолетовый, слово"
147,2018,Karyaeva,"извлечение, термин, википедия, предметная область, термины, использование, лексико-синтаксические шаблоны, часть, работа, семантические отношения","извлечение, термин, википедия, предметная область, термины, использование, лексико-синтаксические шаблоны, часть, работа, семантические отношения","Википедии, отношений, отношения, извлечения, Отношение, предметной области, терминов, извлечения отношений, отношения меронимии, русской Википедии"
148,2018,Khokhlova,"сочетаемость, информация, база данных, словарь, словари, надежда, русский язык, возможность, таблица слов, существительное","сочетаемость, информация, база данных, словарь, словари, надежда, русский язык, возможность, таблица слов, существительное","данных, сочетаемости, база данных, языка, русского языка, словосочетания, token start, слов, представлены, база"
