nltk,razdel,segtok,pymorphy,spacy,stanza,moses,ufal
!,!,!,!,Идет,—,",",—
Вы,Вы,Банкир,Вы,!,Согласен,я,Согласен
ставите,ставите,",",ставите,—,!,ставлю,!
миллионы,миллионы,не,миллионы,крикнул,Вы,два,Вы
",",",",знавший,",",банкир,ставите,миллиона,ставите
а,а,тогда,а,.,миллионы,!,миллионы
я,я,счета,я,—,",",—,","
свою,свою,своим,свою,Господа,а,Согласен,а
свободу,свободу,миллионам,свободу,",",я,!,я
!,!,",",!,я,свою,Вы,свою
—,—,избалованный,—,ставлю,свободу,ставите,свободу
сказал,сказал,и,сказал,два,!,миллионы,!
юрист,юрист,легкомысленный,юрист,миллиона,—,",",—
.,.,",",.,!,сказал,а,сказал
И,И,был,И,"
",юрист,я,юрист
это,это,в,это,—,.,свою,.
дикое,дикое,восторге,дикое,Согласен,И,свободу,И
",",",",от,",",!,это,!,это
бессмысленное,бессмысленное,пари.,бессмысленное,Вы,дикое,—,дикое
пари,пари,За,пари,ставите,",",сказал,","
состоялось,состоялось,ужином,состоялось,миллионы,бессмысленное,юрист,бессмысленное
!,!,он,!,",",пари,.,пари
Банкир,Банкир,шутил,Банкир,а,состоялось,И,состоялось
",",",",над,",",я,!,это,!
не,не,юристом,не,свою,Банкир,дикое,Банкир
знавший,знавший,и,знавший,свободу,",",",",","
тогда,тогда,говорил,тогда,!,не,бессмысленное,не
счета,счета,:,счета,—,знавший,пари,знавший
своим,своим,—,своим,сказал,тогда,состоялось,тогда
миллионам,миллионам,Образумьтесь,миллионам,юрист,счета,!,счета
",",",",",",",",.,своим,Банкир,своим
избалованный,избалованный,молодой,избалованный,"
",миллионам,",",миллионам
и,и,человек,и,И,",",не,","
легкомысленный,легкомысленный,",",легкомысленный,это,избалованный,знавший,избалованный
",",",",пока,",",дикое,и,тогда,и
был,был,еще,был,",",легкомысленный,счета,легкомысленный
в,в,не,в,бессмысленное,",",своим,","
восторге,восторге,поздно.,восторге,пари,был,миллионам,был
от,от,Для,от,состоялось,в,",",в
пари,пари,меня,пари,!,восторге,избалованный,восторге
.,.,два,.,Банкир,от,и,от
За,За,миллиона,За,",",пари,легкомысленный,пари
ужином,ужином,составляют,ужином,не,.,",",.
он,он,пустяки,он,знавший,За,был,За
шутил,шутил,",",шутил,тогда,ужином,в,ужином
над,над,а,над,счета,он,восторге,он
юристом,юристом,вы,юристом,своим,шутил,от,шутил
и,и,рискуете,и,миллионам,над,пари,над
говорил,говорил,потерять,говорил,",",юристом,.,юристом
:,:,три-четыре,:,избалованный,и,За,и
—,—,лучших,—,и,говорил,ужином,говорил
Образумьтесь,Образумьтесь,года,Образумьтесь,легкомысленный,:,он,:
",",",",вашей,",",",",—,шутил,—
молодой,молодой,жизни.,молодой,был,Образумьтесь,над,Образумьтесь
человек,человек,Говорю,человек,в,",",юристом,","
",",",",—,",",восторге,молодой,и,молодой
пока,пока,три-четыре,пока,от,человек,говорил,человек
еще,еще,",",еще,пари,",",:,","
не,не,потому,не,.,пока,—,пока
поздно,поздно,что,поздно,За,еще,Образумьтесь,еще
.,.,вы,.,ужином,не,",",не
Для,Для,не,Для,он,поздно,молодой,поздно
меня,меня,высидите,меня,шутил,.,человек,.
два,два,дольше.,два,над,Для,",",Для
миллиона,миллиона,Не,миллиона,юристом,меня,пока,меня
составляют,составляют,забывайте,составляют,и,два,еще,два
пустяки,пустяки,также,пустяки,говорил,миллиона,не,миллиона
",",",",",",",",:,составляют,поздно,составляют
а,а,несчастный,а,"
",пустяки,.,пустяки
вы,вы,",",вы,—,",",Для,","
рискуете,рискуете,что,рискуете,Образумьтесь,а,меня,а
потерять,потерять,добровольное,потерять,",",вы,два,вы
три-четыре,три-четыре,заточение,три-четыре,молодой,рискуете,миллиона,рискуете
лучших,лучших,гораздо,лучших,человек,потерять,составляют,потерять
года,года,тяжелее,года,",",три,пустяки,три
вашей,вашей,обязательного.,вашей,пока,-,",",-
жизни,жизни,Мысль,жизни,еще,четыре,а,четыре
.,.,",",.,не,лучших,вы,лучших
Говорю,Говорю,что,Говорю,поздно,года,рискуете,года
—,—,каждую,—,.,вашей,потерять,вашей
три-четыре,три-четыре,минуту,три-четыре,Для,жизни,три,жизни
",",",",вы,",",меня,.,@-@,.
потому,потому,имеете,потому,два,Говорю,четыре,Говорю
что,что,право,что,миллиона,—,лучших,—
вы,вы,выйти,вы,составляют,три,года,три
не,не,на,не,пустяки,-,вашей,-
высидите,высидите,свободу,высидите,",",четыре,жизни,четыре
дольше,дольше,",",дольше,а,",",.,","
.,.,отравит,.,вы,потому,Говорю,потому
Не,Не,вам,Не,рискуете,что,—,что
забывайте,забывайте,в,забывайте,потерять,вы,три,вы
также,также,каземате,также,три,не,@-@,не
",",",",всё,",",-,высидите,четыре,высидите
несчастный,несчастный,ваше,несчастный,четыре,дольше,",",дольше
",",",",существование.,",",лучших,.,потому,.
что,что,Мне,что,года,Не,что,Не
добровольное,добровольное,жаль,добровольное,вашей,забывайте,вы,забывайте
заточение,заточение,вас,заточение,жизни,также,не,также
гораздо,гораздо,!,гораздо,.,",",высидите,","
тяжелее,тяжелее,И,тяжелее,Говорю,несчастный,дольше,несчастный
обязательного,обязательного,теперь,обязательного,—,",",.,","
.,.,банкир,.,три,что,Не,что
Мысль,Мысль,",",Мысль,-,добровольное,забывайте,добровольное
",",",",шагая,",",четыре,заточение,также,заточение
что,что,из,что,",",гораздо,",",гораздо
каждую,каждую,угла,каждую,потому,тяжелее,несчастный,тяжелее
